kasrat_id	kasrat_name	fedb_id	fedb_name	score	name_score	status
bulgarian_split_squat	Bulgarian Split Squat	Split_Squat_with_Dumbbells	Split Squat with Dumbbells	0.72	0.61	match
plank	Plank	Plank	Plank	1.00	1.00	match
crunches	Crunches	Crunches	Crunches	1.00	1.00	match
russian_twist	Russian Twist	Russian_Twist	Russian Twist	1.00	1.00	match
incline_barbell_press	Incline Barbell Press	Barbell_Incline_Bench_Press_-_Medium_Grip	Barbell Incline Bench Press - Medium Grip	0.87	0.82	match
decline_barbell_press	Decline Barbell Press	Decline_Barbell_Bench_Press	Decline Barbell Bench Press	0.96	0.95	match
flat_db_press	Flat DB Press	Incline_Dumbbell_Press	Incline Dumbbell Press	0.75	0.65	match
decline_db_press	Decline DB Press	Decline_Dumbbell_Bench_Press	Decline Dumbbell Bench Press	0.96	0.95	match
machine_chest_press	Machine Chest Press	Machine_Bench_Press	Machine Bench Press	0.75	0.66	match
smith_bench_press	Smith Machine Bench Press	Smith_Machine_Bench_Press	Smith Machine Bench Press	1.00	1.00	match
pec_deck	Pec Deck			-1.00	0.00	low
incline_cable_fly	Incline Cable Fly	Incline_Cable_Flye	Incline Cable Flye	0.77	0.68	match
low_cable_fly	Low Cable Fly	Low_Cable_Crossover	Low Cable Crossover	0.73	0.63	match
db_fly	Dumbbell Fly	Dumbbell_Flyes	Dumbbell Flyes	0.66	0.53	match
